global_persona_index,age,persona_text,item_id,condition,score
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,32,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,32,predictive,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,32,explicit,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,35,control,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,35,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,35,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,34,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,34,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,34,explicit,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,33,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,33,predictive,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,33,explicit,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,20,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,20,predictive,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,20,explicit,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,18,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,18,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,18,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,27,control,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,27,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,27,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,9,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,9,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,9,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,11,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,11,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,11,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,7,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,7,predictive,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,7,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,29,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,29,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,29,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,16,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,16,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,16,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,6,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,6,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,6,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,28,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,28,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,28,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,17,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,17,predictive,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,17,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,1,control,1
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,1,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,1,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,10,control,2
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,10,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,10,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,19,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,19,predictive,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,19,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,26,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,26,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,26,explicit,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8,control,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8,predictive,3
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8,explicit,4
0,8,A curious elementary school student who eagerly awaits the next story on their daily bus ride,21,control,3
